gene	logFC	logCPM	PValue	FDR
Solyc00g015720	0	-1.66887626930952	1	1
Solyc00g015730	0	-1.66887626930952	1	1
Solyc00g015740	0	-1.66887626930952	1	1
Solyc00g015750	0	-1.66887626930952	1	1
Solyc00g015760	0	-1.66887626930952	1	1
Solyc00g015770	0	-1.66887626930952	1	1
Solyc00g016470	0	-1.66887626930952	1	1
Solyc00g016480	0	-1.66887626930952	1	1
Solyc00g016490	0	-1.66887626930952	1	1
Solyc00g016590	0	-1.66887626930952	1	1
Solyc00g016790	0	-1.66887626930952	1	1
Solyc00g016890	0	-1.66887626930952	1	1
Solyc00g016900	0	-1.66887626930952	1	1
Solyc00g016910	0	-1.66887626930952	1	1
Solyc00g017210	0	-1.66887626930952	1	1
Solyc00g017220	0	-1.66887626930952	1	1
Solyc00g017230	0	-1.66887626930952	1	1
Solyc00g017530	0	-1.66887626930952	1	1
Solyc00g017540	0	-1.66887626930952	1	1
Solyc00g017550	0	-1.66887626930952	1	1
Solyc00g017750	0	-1.66887626930952	1	1
Solyc00g017760	0	-1.66887626930952	1	1
Solyc00g017860	0	-1.66887626930952	1	1
Solyc00g017870	0	-1.66887626930952	1	1
Solyc00g017880	0	-1.66887626930952	1	1
Solyc00g017890	0	-1.66887626930952	1	1
Solyc00g017900	0	-1.66887626930952	1	1
Solyc00g017910	0	-1.66887626930952	1	1
Solyc00g017920	0	-1.66887626930952	1	1
Solyc00g017930	0	-1.66887626930952	1	1
Solyc00g018760	0	-1.66887626930952	1	1
Solyc00g018770	0	-1.66887626930952	1	1
Solyc00g018970	0	-1.66887626930952	1	1
Solyc00g019610	0	-1.66887626930952	1	1
Solyc00g019620	0	-1.66887626930952	1	1
Solyc00g019630	0	-1.66887626930952	1	1
Solyc00g019730	-0.677150794374984	0.357632558797587	0.370769402394366	0.779071158525392
Solyc00g019740	-0.449255916177274	1.83452668580487	0.274862166190957	0.615246133176879
Solyc00g019750	-0.894343299993091	-0.0865471512404554	0.314988482553124	0.683665389342765
Solyc00g019950	0.391967169257158	-0.12105569459973	0.735946764511182	1
Solyc00g019960	0	-1.66887626930952	1	1
Solyc00g019970	-1.86657967819603	-1.55281258034706	0.999999999999996	1
Solyc00g019980	-4.28035509194526	-1.00571922338134	0.0216211675606698	0.0744362333577258
Solyc00g019990	0	-1.66887626930952	1	1
Solyc00g020000	-1.83812678455159	-1.55503822971758	0.999999999999991	1
Solyc00g020010	-1.20154395967593	0.169741733115503	0.0757547602053888	0.215258574522279
Solyc00g020020	0.0475330807567337	-1.25400099192107	1	1
Solyc00g020030	-4.06926956764475	-1.08402548473009	0.0417449516585627	0.130296327183795
Solyc00g020040	0.544862246737381	-1.16343025809331	1	1
Solyc00g020440	0	-1.66887626930952	1	1
Solyc00g020540	0	-1.66887626930952	1	1
Solyc00g020840	-1.86656599823444	-1.55281258034706	0.999999999999994	1
Solyc00g020940	0	-1.66887626930952	1	1
Solyc00g020950	0	-1.66887626930952	1	1
Solyc00g020960	0	-1.66887626930952	1	1
Solyc00g020970	0	-1.66887626930952	1	1
Solyc00g020980	0	-1.66887626930952	1	1
Solyc00g020990	0	-1.66887626930952	1	1
Solyc00g021490	0	-1.66887626930952	1	1
Solyc00g021500	0	-1.66887626930952	1	1
Solyc00g021510	0	-1.66887626930952	1	1
Solyc00g021520	0	-1.66887626930952	1	1
Solyc00g021530	0	-1.66887626930952	1	1
Solyc00g021630	0.235786208901145	0.50396524839614	0.757379112985813	1
Solyc00g021640	-0.701360659074549	2.63681616333294	0.208203734785215	0.497234791134459
Solyc00g021650	-1.86655231886096	-1.55281258034706	0.999999999999998	1
Solyc00g021660	0.0245251423128722	-1.4455126387157	1	1
Solyc00g022070	0.944510965606344	-0.863065568336944	0.565769747719653	1
Solyc00g022080	0	-1.66887626930952	1	1
Solyc00g022090	0.934214436607989	-1.08374058739252	0.709121087705716	1
Solyc00g022100	-0.347803652353258	1.49592998212002	0.427597623566991	0.866195104334767
Solyc00g022110	-0.246431438848607	5.01783022805392	0.291190227432856	0.642572474300107
Solyc00g022920	0	-1.66887626930952	1	1
Solyc00g023020	0	-1.66887626930952	1	1
Solyc00g023030	0	-1.66887626930952	1	1
Solyc00g023040	0	-1.66887626930952	1	1
Solyc00g023050	0	-1.66887626930952	1	1
Solyc00g023250	0	-1.66887626930952	1	1
Solyc00g023260	0	-1.66887626930952	1	1
Solyc00g023270	0	-1.66887626930952	1	1
Solyc00g023470	0	-1.66887626930952	1	1
Solyc00g023570	0.834744695354965	-1.34420238190048	1	1
Solyc00g023580	0	-1.66887626930952	1	1
Solyc00g023590	0.367243312642509	-0.863644303935062	1	1
Solyc00g023600	0	-1.66887626930952	1	1
Solyc00g023700	-1.86653893002953	-1.55281258034706	1	1
Solyc00g023710	2.66453067279306	-1.44716926445989	0.535569451159904	0.996590902766731
Solyc00g024010	0	-1.66887626930952	1	1
Solyc00g024020	0	-1.66887626930952	1	1
Solyc00g024030	0	-1.66887626930952	1	1
Solyc00g024040	0	-1.66887626930952	1	1
Solyc00g024050	0	-1.66887626930952	1	1
Solyc00g024150	0.420991006014892	6.0867440409872	0.100718484351489	0.27300926065363
Solyc00g024160	-1.83814694448442	-1.55503822971758	0.999999999999998	1
Solyc00g024170	0	-1.66887626930952	1	1
Solyc00g024370	0	-1.66887626930952	1	1
Solyc00g024570	-2.65551369340605	-1.4450496027334	0.513116318906367	0.978266997202283
Solyc00g024670	0	-1.66887626930952	1	1
Solyc00g024680	0	-1.66887626930952	1	1
